application_name,package_name,downloads,category,version,popularity_rank,activities,min_sdk,target_sdk,num_features,features,num_permissions,permissions
WhatsApp Messenger,com.whatsapp,5B+,Communication,2.23.9.75,4,387,21,33,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.faketouch implied: default feature for all apps,66,com.whatsapp.sticker.READ; android.permission.INSTALL_SHORTCUT; android.permission.READ_PHONE_NUMBERS; com.whatsapp.permission.BROADCAST; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; android.permission.MANAGE_ACCOUNTS; com.google.android.c2dm.permission.RECEIVE; android.permission.READ_MEDIA_AUDIO; android.permission.RECORD_AUDIO; com.facebook.services.identity.FEO2; android.permission.REQUEST_INSTALL_PACKAGES; android.permission.BROADCAST_STICKY; android.permission.READ_SYNC_STATS; android.permission.SCHEDULE_EXACT_ALARM; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; android.permission.GET_TASKS; android.permission.USE_FULL_SCREEN_INTENT; com.whatsapp.permission.MAPS_RECEIVE; android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; android.permission.READ_SYNC_SETTINGS; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.AUTHENTICATE_ACCOUNTS; android.permission.FOREGROUND_SERVICE; android.permission.READ_PROFILE; android.permission.NFC; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; android.permission.ACCESS_FINE_LOCATION; com.android.launcher.permission.UNINSTALL_SHORTCUT; android.permission.MANAGE_OWN_CALLS; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.USE_FINGERPRINT; android.permission.NEARBY_WIFI_DEVICES; android.permission.WRITE_CONTACTS; com.android.launcher.permission.INSTALL_SHORTCUT; com.google.android.providers.gsf.permission.READ_GSERVICES; android.permission.RECEIVE_SMS; android.permission.SEND_SMS; android.permission.READ_MEDIA_VIDEO; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; android.permission.WRITE_SYNC_SETTINGS; com.whatsapp.permission.REGISTRATION; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.USE_CREDENTIALS; android.permission.USE_BIOMETRIC; android.permission.CHANGE_NETWORK_STATE; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH; android.permission.READ_PHONE_STATE
Spotify: Music and Podcasts,com.spotify.music,1B+,Music & Audio,8.8.36.522,36,98,21,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_MULTICAST_STATE permission; android.hardware.faketouch implied: default feature for all apps,43,com.google.android.gms.permission.AD_ID; com.samsung.android.samsungaccount.permission.ACCOUNT_MANAGER; android.permission.GET_ACCOUNTS; android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE; android.permission.FOREGROUND_SERVICE; android.permission.BLUETOOTH_ADMIN; com.sec.android.app.clockpackage.permission.READ_ALARM; com.spotify.music.permission.C2D_MESSAGE; android.permission.NFC; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE' maxSdkVersion='22; android.permission.BLUETOOTH_ADVERTISE; com.spotify.music.permission.SECURED_BROADCAST; android.permission.ACCESS_NETWORK_STATE; com.samsung.WATCH_APP_TYPE.Companion; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK; com.google.android.c2dm.permission.RECEIVE; com.android.launcher.permission.INSTALL_SHORTCUT; android.permission.READ_MEDIA_AUDIO; com.samsung.android.rubin.context.permission.READ_CONTEXT_MANAGER; com.spotify.music.permission.INTERNAL_BROADCAST; com.google.android.apps.meetings.permission.MEET_LIVE_SHARING; android.permission.BLUETOOTH_SCAN; com.spotify.music.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; android.permission.CHANGE_WIFI_MULTICAST_STATE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; android.permission.BROADCAST_STICKY; android.permission.INTERNET; android.permission.USE_CREDENTIALS; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH; android.permission.BLUETOOTH_CONNECT; com.sony.snei.np.android.account.provider.permission.DUID_READ_PROVIDER; android.permission.FOREGROUND_SERVICE_DATA_SYNC
Instagram,com.instagram.android,1B+,Social Media,280.0.0.18.114,25,264,24,33,1,android.hardware.faketouch implied: default feature for all apps,46,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; android.permission.ACCESS_MEDIA_LOCATION; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.READ_PHONE_NUMBERS; com.amazon.device.messaging.permission.RECEIVE; android.permission.READ_PROFILE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; com.android.launcher.permission.UNINSTALL_SHORTCUT; com.instagram.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; com.instagram.direct.permission.PROTECTED_DEEPLINKING; android.permission.MANAGE_OWN_CALLS; android.permission.ACCESS_NETWORK_STATE; .permission.RECEIVE_ADM_MESSAGE; android.permission.WAKE_LOCK; android.permission.USE_FINGERPRINT; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.android.launcher.permission.INSTALL_SHORTCUT; android.permission.READ_MEDIA_VIDEO; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; android.permission.REORDER_TASKS; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.facebook.services.identity.FEO2; com.instagram.direct.permission.DIRECT_APP_THREAD_STORE_SERVICE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.USE_BIOMETRIC; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.USE_FULL_SCREEN_INTENT; android.permission.CAMERA; android.permission.MODIFY_AUDIO_SETTINGS; com.facebook.katana.provider.ACCESS; android.permission.BLUETOOTH; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
TikTok,com.zhiliaoapp.musically,1B+,Social Media,29.6.4,6,325,21,31,2,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and targetSdkVersion > 4; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission,43,android.permission.READ_CONTACTS; android.permission.FLASHLIGHT; com.vivo.aiengine.permission.READ_AWARE_PROVIDER; android.permission.FOREGROUND_SERVICE; android.permission.SYSTEM_ALERT_WINDOW; com.zhiliao.musically.livewallpaper.permission.wallpaperplugin; com.amazon.device.messaging.permission.RECEIVE; com.zhiliaoapp.musically.permission.READ_ACCOUNT; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.BLUETOOTH' maxSdkVersion='30; com.android.launcher.permission.UNINSTALL_SHORTCUT; android.permission.AUTHENTICATE_ACCOUNTS' maxSdkVersion='22; android.permission.ACCESS_COARSE_LOCATION; com.vivo.aiengine.permission.WRITE_AWARE_PROVIDER; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; com.tiktok.preload.permission.IDENTIFY; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; com.zhiliaoapp.musically.permission.RECEIVE_ADM_MESSAGE; com.google.android.c2dm.permission.RECEIVE; com.android.launcher.permission.INSTALL_SHORTCUT; com.android.launcher.permission.READ_SETTINGS; com.samsung.android.mapsagent.permission.READ_APP_INFO; com.orange.update.permission.READ_ATTRIBUTION; android.permission.VIBRATE; android.permission.CHANGE_WIFI_MULTICAST_STATE; com.zhiliaoapp.musically.push.permission.MESSAGE; android.permission.REORDER_TASKS; com.android.vending.BILLING; android.permission.RECORD_AUDIO; android.permission.SCHEDULE_EXACT_ALARM; android.permission.INTERNET; com.zhiliaoapp.musically.permission.WRITE_ACCOUNT; android.permission.CHANGE_NETWORK_STATE; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CAMERA; android.permission.SET_WALLPAPER; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH_CONNECT
Pinterest,com.pinterest,500M+,Lifestyle,10.44.0,53,30,24,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,25,com.google.android.gms.permission.AD_ID; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.NFC; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.google.android.providers.gsf.permission.READ_GSERVICES; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_MEDIA_VIDEO; android.permission.READ_MEDIA_IMAGES; android.permission.SCHEDULE_EXACT_ALARM; android.permission.INTERNET; com.pinterest.account.Credentials; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.CAMERA
Uber - Request a ride,com.ubercab,500M+,Maps & Navigation,4.474.10001,23,128,24,33,6,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,35,com.google.android.gms.permission.AD_ID; android.permission.READ_CONTACTS; android.permission.CALL_PHONE; android.permission.GET_ACCOUNTS; android.permission.FOREGROUND_SERVICE; com.ubercab.permission.C2D_MESSAGE; android.permission.SYSTEM_ALERT_WINDOW; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.USE_FINGERPRINT; android.permission.ACCESS_WIFI_STATE; android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; android.permission.MANAGE_ACCOUNTS; com.google.android.providers.gsf.permission.READ_GSERVICES; android.permission.READ_MEDIA_IMAGES; com.ubercab.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.VIBRATE; android.permission.SCHEDULE_EXACT_ALARM; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.USE_BIOMETRIC; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CHANGE_NETWORK_STATE; android.permission.USE_FULL_SCREEN_INTENT; android.permission.CAMERA; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH; android.permission.READ_PHONE_STATE
Amazon Prime Video,com.amazon.avod.thirdpartyclient,500M+,Entertainment,3.0.347.10247,17,80,21,31,2,android.hardware.screen.landscape implied: one or more activities have specified a landscape orientation; android.hardware.faketouch implied: default feature for all apps,41,com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; android.permission.AUTHENTICATE_ACCOUNTS; android.permission.FOREGROUND_SERVICE; com.amazon.dcp.metrics.permission.METRICS_PERMISSION; com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER; amazon.permission.COLLECT_METRICS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.BLUETOOTH' maxSdkVersion='30; com.samsung.permission.USE_MHDR_SERVICE; com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; com.amazon.device.environment.permission.SWITCH_STAGE; com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER; android.permission.VIBRATE' maxSdkVersion='18; android.permission.MANAGE_ACCOUNTS; com.google.android.c2dm.permission.RECEIVE; com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS; com.amazon.identity.permission.GENERIC_IPC; com.amazon.identity.auth.device.perm.AUTH_SDK; com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED; android.permission.CHANGE_WIFI_MULTICAST_STATE; com.amazon.dcp.sso.permission.MANAGE_COR_PFM; com.android.vending.BILLING; com.amazon.avod.SDK_ACCESS; com.amazon.CONTENT_PROVIDER_ACCESS; android.permission.SCHEDULE_EXACT_ALARM; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.CHANGE_NETWORK_STATE; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed; android.permission.READ_EXTERNAL_STORAGE; com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER; android.permission.READ_PHONE_STATE; com.amazon.dcp.sso.permission.account.changed
Google Wallet,com.google.android.apps.walletnfcrel,500M+,Finance,2.188.524976065,8,178,24,33,5,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.software.device_admin; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,25,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.NFC; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; com.felicanetworks.mfc.permission.MFC_ACCESS; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FINGERPRINT; com.google.android.c2dm.permission.RECEIVE; com.google.android.providers.gsf.permission.READ_GSERVICES; android.permission.GET_ACCOUNTS' maxSdkVersion='22; android.permission.GET_PACKAGE_SIZE; com.google.android.apps.walletnfcrel.permission.C2D_MESSAGE; android.permission.VIBRATE; android.permission.INTERNET; android.permission.USE_BIOMETRIC; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
CapCut - Video Editor,com.lemon.lvoverseas,500M+,Video Players,8.2.0,8,69,21,31,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,40,com.hihonor.android.launcher.permission.CHANGE_BADGE; com.google.android.gms.permission.AD_ID; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.GET_PACKAGE_SIZE' maxSdkVersion='25; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; com.android.launcher.permission.UNINSTALL_SHORTCUT; me.everything.badger.permission.BADGE_COUNT_READ; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; com.vivo.notification.permission.BADGE_ICON; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.ACCESS_WIFI_STATE; android.permission.HIGH_SAMPLING_RATE_SENSORS; com.oppo.launcher.permission.WRITE_SETTINGS; com.google.android.c2dm.permission.RECEIVE; com.android.launcher.permission.INSTALL_SHORTCUT; com.android.launcher.permission.READ_SETTINGS; android.permission.READ_APP_BADGE; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; me.everything.badger.permission.BADGE_COUNT_WRITE; android.permission.UPDATE_APP_BADGE; com.oppo.launcher.permission.READ_SETTINGS; com.android.launcher.permission.WRITE_SETTINGS
Samsung Smart Switch Mobile,com.sec.android.easyMover,100M+,Tools,9.5.03.0,20,51,14,29,4,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.screen.landscape; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission,116,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; com.samsung.cmh.data.READ; android.permission.WRITE_CALENDAR; com.sec.android.app.clockpackage.permission.READ_ALARM; com.vlingo.midas.permission.BACKUP_RESTORE; com.sec.android.app.sbrowser.permission.BACKUP_RESTORE; com.sec.mms.permission.BACKUP_RESTORE; android.permission.OVERRIDE_WIFI_CONFIG; android.permission.WAKE_LOCK; com.samsung.inputmethod.permission.BACKUP_RESTORE; com.samsung.android.app.provider.episodes.permission.READ_EPISODES_DB; android.permission.PACKAGE_USAGE_STATS; android.permission.GET_PACKAGE_SIZE; com.sec.android.kies.vzwlocation.BROADCAST_DETECT; android.permission.WRITE_OWNER_DATA; android.permission.CHANGE_WIFI_STATE; com.sec.android.phone.permission.READ_CALL_SETTINGS; android.permission.INTERNET; android.permission.GET_TASKS; com.sec.android.app.clockpackage.permission.READ_TIMER; com.sec.android.app.clockpackage.permission.READ_WCCONTENT; com.samsung.android.app.reminder.permission.READ; android.permission.READ_OWNER_DATA; android.permission.NETWORK_STACK; com.samsung.android.scloud.sync.permission.WRITE; android.permission.READ_CONTACTS; android.permission.READ_LOGS; android.permission.READ_SMS; android.permission.READ_SYNC_SETTINGS; android.permission.UPDATE_APP_OPS_STATS; com.samsung.android.internal.intelligence.useranalysis.permission.WRITE_PLACE; android.permission.BLUETOOTH_ADMIN; com.sec.android.easyMover.permission.RUN_AGENT; com.samsung.android.app.notes.sync.STATE_WRITE; com.samsung.android.app.cocktailbarservice.permission.ACCESS_PANEL; android.permission.READ_PROFILE; com.sec.android.app.clockpackage.permission.BACKUP_RESTORE_ALARM; android.permission.RECEIVE_BOOT_COMPLETED; com.samsung.android.memo.BNR; android.permission.CHANGE_COMPONENT_ENABLED_STATE; com.sec.android.app.fm.BROADCAST_DETECT; android.permission.PEERS_MAC_ADDRESS; android.permission.TETHER_PRIVILEGED; com.sec.android.app.browser.permission.IMPORT_BOOKMARK; com.samsung.android.app.omcagent.permission.READ_PROVIDER; com.sec.permission.WIFI_BACKUP; android.permission.WRITE_SMS; com.android.launcher.permission.READ_SETTINGS; com.samsung.android.app.notes.READ; android.permission.VIBRATE; com.sec.android.permission.KIES_BNR; android.permission.REORDER_TASKS; com.samsung.android.memo.READ; android.permission.READ_CALL_LOG; android.permission.NETWORK_SETTINGS; com.google.android.finsky.permission.INSTANT_APP_STATE; com.samsung.android.scloud.sync.permission.READ; android.permission.BLUETOOTH; com.samsung.voiceserviceplatform.permission.BACKUP_RESTORE; android.permission.READ_CALENDAR; com.sec.android.phone.permission.WRITE_CALL_SETTINGS; android.permission.INSTALL_PACKAGES; android.permission.WRITE_MEDIA_STORAGE; com.samsung.android.app.notes.sync.STATE_READ; com.android.browser.permission.READ_HISTORY_BOOKMARKS; android.permission.WRITE_TASKS; com.sec.android.app.music.permission.WRITE_SETTINGS; android.permission.REBOOT; android.permission.CONNECTIVITY_INTERNAL; android.permission.ACCESS_COARSE_LOCATION; com.sec.permission.BACKUP_RESTORE_HOMESCREEN; android.permission.WRITE_PROFILE; android.permission.WRITE_SECURE_SETTINGS; android.permission.ACCESS_WIFI_STATE; com.sec.android.inputmethod.permission.BACKUP_RESTORE; android.permission.READ_TASKS; com.android.vending.setup.PLAY_SETUP_SERVICE; android.permission.CLEAR_APP_CACHE; com.wssnps.permission.COM_WSSNPS; com.samsung.permission.READ_SM_DATA; com.sec.android.widgetapp.q1_penmemo.permission.WRITE; android.permission.RECORD_AUDIO; com.sec.android.app.safetyassurance.permission.PRIVATE; com.sec.android.provider.logsprovider.permission.READ_LOGS; com.sec.android.app.clockpackage.permission.BACKUP_RESTORE_WORLDCLOCK; com.sec.spp.permission.TOKEN_9d7d0e108b0956dbad83c838c1dc3cdd422696c70a07d965193a2908197b48d72eaad4fa3f4a5cb7a55ea5508008cd3c7c7ef96207215606cd858405b9939c4e645f3ff51dc98f0b1ebcb87c0a1fac1432cb0f6ebcc2e4f7cfe72b7af75a0e836b9a9bec9dd54896807da97b3d66f93feaa7829167a41711983541b34e240c0e; com.infraware.provider.SNoteProvider.permission.READ; com.sec.android.widgetapp.q1_penmemo.permission.READ; android.permission.COM_WSSNPS; android.permission.LOCAL_MAC_ADDRESS; com.sec.android.permission.WRITE_MEMO; com.samsung.android.app.shareaccessibilitysettings.permission.READ_WRITE; android.permission.GET_ACCOUNTS; com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY; android.permission.SYSTEM_ALERT_WINDOW; com.sec.android.app.calendar.permission.WRITE_CALENDAR_SETTINGS; android.permission.WRITE_EXTERNAL_STORAGE; com.infraware.provider.SNoteProvider.permission.WRITE; com.sec.permission.OTG_CHARGE_BLOCK; android.permission.ACCESS_NETWORK_STATE; android.permission.WRITE_CONTACTS; com.sec.android.permission.READ_MEMO; com.sec.android.kies.calllog.BROADCAST_DETECT; com.sec.android.app.contact.permission.CONTACT_SETTINGS; android.permission.MANAGE_NETWORK_POLICY; android.permission.BACKUP; com.samsung.android.permission.SSRM_NOTIFICATION_PERMISSION; com.sec.android.email.service.BROADCAST_DETECT; com.samsung.android.telephony.provider.permission.ACCESS_RESTORE_STATE; com.samsung.android.launcher.permission.READ_SETTINGS; com.samsung.kidshome.provider.SETUPWIZARD_READ; android.permission.CHANGE_NETWORK_STATE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_SETTINGS; android.permission.READ_PHONE_STATE
